appid,currency,initial,final,discount_pct,is_free
10,USD,999,999,0,0
440,USD,0,0,0,1
550,USD,999,999,0,0
620,USD,999,999,0,0
730,USD,0,0,0,1
4000,USD,999,999,0,0
49520,USD,1999,1999,0,0
72850,USD,1999,1999,0,0
105600,USD,999,999,0,0
107410,USD,2999,2999,0,0
108600,USD,1999,1999,0,0
218620,USD,999,999,0,0
221100,USD,4999,4999,0,0
227300,USD,1999,499,75,0
230410,USD,0,0,0,1
236390,USD,0,0,0,1
239140,USD,2499,2499,0,0
242760,USD,1999,1999,0,0
250900,USD,1499,1499,0,0
251570,USD,4499,4499,0,0
252490,USD,3999,3999,0,0
252950,USD,0,0,0,1
255710,USD,2999,2999,0,0
261550,USD,4999,4999,0,0
264710,USD,2999,2999,0,0
271590,USD,0,0,0,1
275850,USD,5999,5999,0,0
284160,USD,2499,2499,0,0
289070,USD,5999,5999,0,0
291550,USD,0,0,0,1
292030,USD,3999,3999,0,0
304930,USD,0,0,0,1
322170,USD,499,499,0,0
322330,USD,1499,1499,0,0
346110,USD,1499,989,34,0
359550,USD,0,0,0,1
367520,USD,1499,1499,0,0
374320,USD,5999,5999,0,0
377160,USD,1999,1999,0,0
381210,USD,1999,1999,0,0
391540,USD,999,999,0,0
394360,USD,4999,4999,0,0
413150,USD,1499,1499,0,0
431960,USD,499,499,0,0
444090,USD,0,0,0,1
489830,USD,3999,3999,0,0
548430,USD,2999,2999,0,0
553850,USD,3999,3999,0,0
578080,USD,0,0,0,1
582010,USD,2999,2999,0,0
632360,USD,2499,2499,0,0
648800,USD,1999,1999,0,0
739630,USD,1999,1999,0,0
814380,USD,5999,5999,0,0
892970,USD,1999,1999,0,0
945360,USD,499,499,0,0
960090,USD,1399,1399,0,0
990080,USD,5999,5999,0,0
1063730,USD,0,0,0,1
1085660,USD,0,0,0,1
1086940,USD,5999,5999,0,0
1091500,USD,5999,5999,0,0
1097150,USD,0,0,0,1
1118200,USD,999,999,0,0
1145360,USD,2499,2499,0,0
1172470,USD,0,0,0,1
1172620,USD,3999,3999,0,0
1174180,USD,5999,1499,75,0
1203220,USD,0,0,0,1
1237970,USD,2999,2999,0,0
1238810,USD,4999,4999,0,0
1245620,USD,5999,5999,0,0
1293830,USD,0,0,0,1
1326470,USD,2999,2999,0,0
1517290,USD,5999,5999,0,0
1623730,USD,2999,2099,30,0
1794680,USD,499,499,0,0
1938090,USD,0,0,0,1
1966720,USD,999,999,0,0
2358720,USD,5999,5999,0,0
70,USD,999,999,0,0
220,USD,999,999,0,0
240,USD,999,999,0,0
400,USD,999,999,0,0
3590,USD,499,499,0,0
8870,USD,2999,749,75,0
8930,USD,2999,2999,0,0
12210,USD,1999,599,70,0
22380,USD,999,999,0,0
48700,USD,1999,1999,0,0
203160,USD,1999,299,85,0
208650,USD,1999,1999,0,0
211820,USD,1499,1499,0,0
227940,USD,0,0,0,1
