appid,cc,currency,initial,final,discount_pct,is_free
10,us,USD,999,999,0,0
440,us,,0,0,0,1
550,us,USD,999,999,0,0
620,us,USD,999,999,0,0
730,us,,0,0,0,1
4000,us,USD,999,999,0,0
49520,us,USD,1999,1999,0,0
72850,us,USD,1999,1999,0,0
105600,us,USD,999,999,0,0
107410,us,USD,2999,2999,0,0
108600,us,USD,1999,1999,0,0
218620,us,USD,999,499,50,0
221100,us,USD,4999,4999,0,0
227300,us,USD,1999,499,75,0
230410,us,,0,0,0,1
236390,us,,0,0,0,1
239140,us,USD,2499,2499,0,0
242760,us,USD,1999,1999,0,0
250900,us,USD,1499,1499,0,0
251570,us,USD,4499,4499,0,0
252490,us,USD,3999,3999,0,0
252950,us,,0,0,0,1
255710,us,USD,2999,2999,0,0
261550,us,USD,4999,4999,0,0
264710,us,USD,2999,2999,0,0
271590,us,,0,0,0,1
275850,us,USD,5999,5999,0,0
284160,us,USD,2499,2499,0,0
289070,us,USD,5999,5999,0,0
291550,us,,0,0,0,1
292030,us,USD,3999,3999,0,0
304930,us,,0,0,0,1
322170,us,USD,499,499,0,0
322330,us,USD,1499,1499,0,0
346110,us,USD,1499,989,34,0
359550,us,,0,0,0,1
367520,us,USD,1499,1499,0,0
374320,us,USD,5999,5999,0,0
377160,us,USD,1999,1999,0,0
381210,us,USD,1999,1999,0,0
391540,us,USD,999,999,0,0
394360,us,USD,4999,4999,0,0
413150,us,USD,1499,1499,0,0
431960,us,USD,499,499,0,0
444090,us,,0,0,0,1
489830,us,USD,3999,3999,0,0
548430,us,USD,2999,2999,0,0
553850,us,USD,3999,3999,0,0
578080,us,,0,0,0,1
582010,us,USD,2999,2999,0,0
632360,us,USD,2499,2499,0,0
648800,us,USD,1999,1999,0,0
739630,us,USD,1999,1999,0,0
814380,us,USD,5999,5999,0,0
892970,us,USD,1999,999,50,0
945360,us,USD,499,499,0,0
960090,us,USD,1399,1399,0,0
990080,us,USD,5999,5999,0,0
1063730,us,,0,0,0,1
1085660,us,,0,0,0,1
1086940,us,USD,5999,5999,0,0
1091500,us,USD,5999,5999,0,0
1097150,us,,0,0,0,1
1118200,us,USD,999,999,0,0
1145360,us,USD,2499,2499,0,0
1172470,us,,0,0,0,1
1172620,us,USD,3999,3999,0,0
1174180,us,USD,5999,1499,75,0
1203220,us,,0,0,0,1
1237970,us,USD,2999,2999,0,0
1238810,us,USD,4999,4999,0,0
1245620,us,USD,5999,5999,0,0
1293830,us,,0,0,0,1
1326470,us,USD,2999,2999,0,0
1517290,us,USD,5999,5999,0,0
1623730,us,USD,2999,2099,30,0
1794680,us,USD,499,499,0,0
1938090,us,,0,0,0,1
1966720,us,USD,999,999,0,0
2358720,us,USD,5999,5999,0,0
70,us,USD,999,999,0,0
220,us,USD,999,999,0,0
240,us,USD,999,999,0,0
400,us,USD,999,999,0,0
3590,us,USD,499,499,0,0
8870,us,USD,2999,749,75,0
8930,us,USD,2999,2999,0,0
12210,us,USD,1999,599,70,0
22380,us,USD,999,999,0,0
48700,us,USD,1999,1999,0,0
203160,us,USD,1999,299,85,0
208650,us,USD,1999,1999,0,0
211820,us,USD,1499,1499,0,0
227940,us,,0,0,0,1
238960,us,,0,0,0,1
244210,us,USD,1999,1999,0,0
262060,us,USD,2499,374,85,0
268910,us,USD,1999,1999,0,0
270880,us,USD,1999,499,75,0
281990,us,USD,4999,4999,0,0
294100,us,USD,3499,3499,0,0
304390,us,USD,2999,2999,0,0
306130,us,USD,1999,1999,0,0
311210,us,USD,5999,5999,0,0
319630,us,,0,0,0,1
379430,us,USD,2999,599,80,0
379720,us,USD,1999,1999,0,0
393380,us,USD,3999,3999,0,0
397540,us,USD,5999,5999,0,0
427520,us,USD,3500,3500,0,0
433340,us,USD,1999,1999,0,0
433850,us,,0,0,0,1
435150,us,USD,4499,4499,0,0
438100,us,,0,0,0,1
444200,us,,0,0,0,1
477160,us,USD,1999,1999,0,0
518790,us,USD,1999,1999,0,0
524220,us,USD,3999,3999,0,0
526870,us,USD,3999,2799,30,0
534380,us,USD,5999,5999,0,0
552520,us,USD,5999,5999,0,0
552990,us,,0,0,0,1
588650,us,USD,2499,2499,0,0
594650,us,USD,2999,2999,0,0
601150,us,USD,2999,449,85,0
646570,us,USD,2499,2499,0,0
671860,us,USD,1499,1499,0,0
686810,us,USD,4999,4999,0,0
698780,us,,0,0,0,1
700330,us,,0,0,0,1
782330,us,USD,2999,2999,0,0
812140,us,USD,5999,5999,0,0
813780,us,USD,3499,3499,0,0
883710,us,USD,3999,3999,0,0
901583,us,,0,0,0,1
976730,us,USD,3999,3999,0,0
1144200,us,USD,4999,4999,0,0
1172380,us,USD,3999,3999,0,0
1222140,us,USD,3999,3999,0,0
1222670,us,,0,0,0,1
1229490,us,USD,2999,2999,0,0
1238840,us,USD,3999,3999,0,0
1240440,us,,0,0,0,1
1332010,us,USD,2999,1499,50,0
1426210,us,USD,3999,3999,0,0
